Gene Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8
A1CF	25.6996	23.731514	30.277252	22.623016	31.228437	25.974745	42.70056	16.695362
A2BP1	9.1828575	95.64436	169.52783	4.010363	42.22022	183.30054	102.9052	176.17497
A2M	17.074917	16.224142	26.059647	18.53851	23.79374	27.261112	19.832571	13.188072
A2ML1	12.360071	20.280651	116.647194	23.246927	77.58391	22.102728	27.716167	10.706015
A4GALT	11.59652	14.758089	22.164886	6.028063	11.907373	7.6092467	3.9872482	2.9337227
A4GNT	18.439648	36.20261	9.089037	24.512337	21.626408	22.66333	11.68537	17.859785
AAAS	26.785727	34.38339	25.678272	43.40854	43.30288	19.864923	25.370678	24.436703
AACS	41.10042	49.27219	135.46791	61.232086	314.76538	130.50885	152.0721	175.6142
AADAC	1.8127791	0.91270536	48.72078	1.3391792	152.4462	2.6286318	3.1977742	1.2357601
AADACL1	12.776433	33.155655	18.950256	25.246136	21.55003	99.579796	26.8871	108.17158
AADACL2	3.14115	1.047025	24.271334	6.86647	19.701239	3.2109723	0.7616446	0.90326256
AADAT	52.34834	71.129814	27.801329	11.250335	28.988302	34.260544	13.246792	54.246464
AAK1	276.9771	387.41772	201.20534	243.08727	206.03947	754.6715	288.77753	879.05414
AAMP	63.11321	71.85502	35.961327	70.457504	97.8244	72.50923	85.29382	91.222145
AARS	326.08798	426.67224	132.77	167.98213	249.76434	491.23322	207.31561	445.49112
AARS2	3.646008	17.313398	5.4010286	17.014328	4.3952355	17.163677	4.9410157	4.2312336
AARSD1	30.437037	65.059814	61.89198	57.673744	45.53572	73.49722	93.0764	75.20381
AASDHPPT	240.29904	458.15594	136.7781	189.71706	266.1713	561.6425	122.303505	520.92535
AASS	31.952261	31.040384	17.790676	3.7438898	14.903083	36.606625	6.681951	16.91617
AATF	57.086308	86.96271	46.99402	83.657364	51.880424	94.259026	39.869263	61.989185
AATK	450.7086	452.4106	22.6412	15.919296	62.924267	377.17908	54.631546	287.0752
ABAT	31.8446	39.859253	11.717719	12.906828	19.93934	22.835821	25.383648	22.341421
ABCA1	6.1032963	10.97895	9.561386	4.953059	4.303438	1.4275267	13.890654	6.2652297
ABCA12	1.2528338	6.7416425	7.759774	6.8745093	14.80132	5.5521917	0.6701937	1.0305125
ABCA13	0.28297025	0.19772352	2.1205251	6.521182	6.1135983	1.3138055	0.21303792	0.447167
ABCA2	1.3771312	1.1959742	1.3412489	0.7561631	0.7848216	3.13419	2.4273882	0.648344
ABCA3	46.04488	71.25194	7.2165637	30.9127	22.700073	79.0753	24.287495	82.77053
ABCA4	7.45696	11.22158	6.957032	7.458158	13.677839	3.0315666	4.153342	1.1914132
ABCA5	53.737743	105.745834	71.68912	58.031437	105.59374	97.014694	132.16977	83.85398
ABCA6	20.740292	21.310081	18.59736	28.385849	31.74092	12.44749	50.295277	10.202792
ABCA7	32.94875	36.774	37.292885	68.19621	41.136646	49.217518	27.321983	23.729246
ABCA8	31.401665	29.366068	11.755867	10.577704	20.14362	12.618241	8.327433	13.979052
ABCA9	9.045451	11.534326	1.6423078	2.4610128	7.51141	12.290714	13.501688	10.070637
ABCB1	75.463974	105.41865	18.785948	25.95743	21.12979	91.55249	15.421911	40.89923
ABCB10	30.378115	50.302296	47.19258	69.79434	77.99361	34.44738	33.76849	27.22412
ABCB11	1.5615057	1.4346273	5.260514	2.9136276	3.851293	6.1247916	1.1848856	4.7274437
ABCB4	3.060181	2.0562263	5.070391	58.44887	0.58198285	1.6292605	7.969186	6.474533
ABCB5	1.2228339	4.7319956	2.04704	2.9812942	1.849437	1.6788187	3.0117428	1.8152316
ABCB6	1.6887506	1.1393213	2.0128596	2.4480867	4.056883	1.9272726	2.3364756	1.2367464
ABCB7	24.10846	38.229103	45.910366	63.014656	54.369747	41.53761	77.160065	36.077213
ABCB8	0.78254324	11.647816	9.321648	3.761123	10.460271	14.403247	12.138033	0.79518443
ABCB9	42.20377	43.779312	27.030085	30.676702	32.020023	40.833683	27.947763	20.490614
ABCC1	61.239895	70.69311	127.8439	147.11429	108.61376	62.818558	100.19245	50.398815
ABCC10	57.486927	84.17755	82.07392	99.21656	89.035416	83.873795	83.174934	66.65889
ABCC11	9.439614	32.85227	12.66133	2.8239527	15.416239	13.657138	6.7403984	14.867953
ABCC12	12.974284	1.1803784	6.7967496	9.796197	15.989861	10.752992	10.012537	5.4495525
ABCC13	10.938744	7.42567	7.246053	6.756845	2.0304964	6.4756308	5.123219	9.042187
ABCC2	6.159908	1.5247747	1.0255826	3.7635908	16.247631	1.1372813	1.6943527	1.092489
ABCC3	10.978113	2.6971228	22.871838	48.536903	17.154268	3.6728334	3.398378	5.4874
ABCC4	16.22135	14.766147	14.616576	13.789155	10.798446	8.476692	1.9638842	1.446055
ABCC5	14.019544	9.161323	18.617548	10.669446	14.807444	9.2597685	9.104124	3.8274286
ABCC6	1.8629299	0.69007444	1.3419324	0.9999088	0.6051162	0.707926	1.043187	0.53033966
ABCC8	1.0759822	2.5287929	1.2850776	1.796905	3.2204125	2.4678624	1.7808583	0.9507713
ABCC9	23.444483	16.269785	46.43891	14.560418	31.31719	15.619675	52.29584	22.033829
ABCD1	33.130882	28.328766	34.03442	28.579638	46.245464	23.639057	48.7235	31.818525
ABCD2	11.46593	5.3277965	7.6846013	7.0618987	4.335315	10.274035	8.2143955	10.9728365
ABCD3	15.474135	14.422427	27.796492	22.239609	43.275043	21.926476	6.600043	0.63812083
ABCD4	73.74944	83.77243	57.263577	74.24127	90.03842	56.577965	64.78889	34.832848
ABCE1	70.97557	85.36693	64.83209	84.50678	114.395645	75.46918	81.50361	69.074974
ABCF1	102.394104	101.16595	157.89455	155.25949	108.79714	95.8768	137.5453	127.865326
ABCF2	39.58481	46.339775	38.184273	36.911777	41.563293	35.183422	32.042206	39.072323
ABCG1	67.15892	45.32347	27.526464	70.030525	36.755226	38.635925	54.574993	38.782635
ABCG2	148.70418	204.90053	18.658463	10.006426	20.622316	202.94437	20.966982	131.65598
ABCG4	22.216673	40.518948	20.5225	16.196543	21.564713	62.82464	4.0084596	27.483381
ABCG5	0.4917232	7.7072096	1.8814301	0.38454112	0.6683146	5.1985087	1.252085	0.5367767
ABCG8	3.659565	3.726094	11.790675	2.8414314	3.0899677	2.632537	18.402428	2.453216
ABHD2	29.687397	33.135265	23.602167	38.441006	48.858433	36.343475	35.578793	19.036774
ABHD4	107.87596	113.91269	104.83941	70.10375	184.95798	110.19034	102.76207	81.24736
ABHD5	24.017267	46.22178	18.496344	0.61944175	30.749992	22.53014	24.376944	21.922573
ABI1	1.597563	1.8081924	5.63487	3.734357	0.9763633	0.43818468	3.5989203	0.4689264
ABI2	71.76254	62.67265	53.21881	54.93046	57.21301	72.31174	47.838005	31.170275
ABI3	39.70201	40.72595	8.60812	69.862976	13.035578	25.929583	21.028461	25.486341
ABL1	205.88838	189.12027	74.905106	76.32496	112.077095	157.21872	117.61696	114.54392
ABL2	14.066229	11.78744	16.342915	2.598175	36.89633	22.711046	19.475388	9.641312
ABLIM1	343.01437	371.18832	795.2259	408.76398	839.3909	443.5753	964.99994	457.73203
ABLIM2	29.15798	5.058903	42.73319	29.36111	12.667713	43.237297	22.552258	27.589169
ABLIM3	80.33303	99.89089	56.577892	27.031076	81.64007	112.122345	102.885544	26.743273
ABO	2.2405481	3.6293063	6.9646344	1.5283732	3.8714294	1.8821379	10.322961	1.7016383
ABP1	11.905291	6.3549523	22.699852	21.13775	11.033436	2.3433874	7.5566516	10.451764
ABR	255.80101	287.52835	89.80452	121.772964	217.47148	219.77863	115.58907	181.2751
ABRA	0.6224351	0.49064523	35.36256	0.4207677	2.316432	0.83732885	60.476635	0.62696445
ABT1	6.25414	42.160435	48.972202	99.48804	40.077614	34.999386	43.503654	5.4895306
ABTB1	10.518949	2.6837895	2.3569827	2.6994717	3.7427232	6.4154615	2.3279283	6.5552893
ACAA1	106.48174	94.892456	80.58283	89.400406	108.49661	66.04117	70.312515	75.42365
ACAA2	23.637959	30.904007	3.775979	7.911598	5.843295	20.731783	5.80538	4.5847206
ACACA	133.54424	160.36165	33.600674	7.9769893	80.91628	156.44232	53.162796	145.86133
ACACB	122.18558	116.68588	109.69859	69.026794	70.9442	96.87608	116.40611	93.85198
ACAD8	61.59539	75.6594	56.554874	83.4245	119.243805	82.61636	73.229095	89.470955
ACAD9	79.226036	118.38457	126.56946	114.88011	116.129974	101.43824	119.182175	77.184555
ACADL	12.256606	6.2567654	17.34966	0.87501186	35.38506	8.802875	44.174545	8.509421
ACADM	234.3869	295.04584	525.0646	291.40567	310.90375	302.76276	478.3379	251.11111
ACADS	44.75465	28.728241	60.369724	41.73803	62.1287	36.183567	80.591515	22.56455
ACADSB	16.26736	18.231064	29.000488	15.784555	63.38004	17.17153	16.385563	10.4995165
ACADVL	274.34494	275.66135	579.538	220.68152	536.19415	249.16429	1018.8768	212.118
ACAN	1.7460504	27.761133	4.1704793	3.615851	19.110443	18.01955	8.115973	13.228114
ACAT1	7.5090394	10.087487	3.8904455	6.599315	2.1198406	1.1208124	3.7278545	8.080932
ACAT2	91.41026	126.68317	89.264084	96.28213	157.83711	325.84143	31.183346	259.2775
ACBD3	119.9069	106.9908	206.91695	140.36519	275.26947	78.85476	187.52046	102.46294
ACBD5	91.03834	115.89886	22.844553	41.34973	51.153034	106.0274	82.90884	87.24904
ACCN1	20.84992	37.61524	10.344657	3.5319786	5.116097	18.849417	13.655628	10.255475
ACCN2	126.76655	107.9872	4.7863307	2.8570561	28.666428	102.540565	39.533348	79.26659
ACCN3	19.502316	16.39606	13.453921	17.070564	18.659172	24.72168	14.852437	19.743439
ACCN4	6.6703434	7.4190073	13.8266115	15.7382345	17.327393	12.7490225	6.607315	18.212412
ACCN5	2.4143133	2.1346016	14.864173	8.924968	10.430354	9.788827	11.422336	7.4219766
ACD	29.874035	25.153757	21.562674	48.53297	35.595985	37.532333	44.9273	10.621911
ACE	5.193422	5.4514894	12.924029	1.1571933	10.068497	9.9428	11.5688925	2.6028335
ACE2	2.792735	8.141421	6.365233	3.8350246	13.911271	0.46576986	9.121431	7.5932546
ACER1	2.2048404	3.5216322	4.586835	1.2728554	2.5920608	3.8515043	3.5399947	11.528499
ACER3	124.649635	105.80075	39.17121	27.00709	48.039738	141.01134	30.659199	126.32081
ACHE	33.379555	71.70925	42.901524	12.820542	29.97757	125.09883	40.844738	87.02141
ACIN1	75.19194	83.697395	71.764786	125.39784	96.34512	85.02338	96.90832	78.60228
ACLY	38.581566	67.05135	21.895039	42.6967	55.083893	90.72672	51.441147	63.748936
ACMSD	9.844251	8.4096575	8.002574	10.403558	8.40804	12.698434	10.772369	8.030125
